,campaign_id,campaign_name,start_date,end_date,channel,impressions,clicks,spend,conversions,active,campaign_tag,season
80,CMP-00081,Q2_Summer_CMP-00081,2023-03-26,2023-04-03,Email,90789,4046,548938,299.0,False,EM,Summer
81,CMP-00082,Q4_Launch_CMP-00082,2023-05-16,2023-05-23,TikTok,56591,1829,174861,138.0,False,TI,Launch
82,CMP-00083,Q1_BlackFriday_CMP-00083,2023-05-27,2023-06-07,Instagram,90812,2869,280346,258.0,True,IN,BlackFriday
83,CMP-00084,Q2_Winter_CMP-00084,2023-10-12,2023-11-04,Instagram,24247,275,53398,18.0,False,IN,Winter
84,CMP-00085,Q4_Summer_CMP-00085,2023-04-08,2023-04-16,Email,25300,1251,22988,105.0,True,EM,Summer
85,CMP-00086,Q1_Winter_CMP-00086,2023-10-24,2023-11-23,Google Ads,75065,1119,198485,73.0,True,INVALID,Winter
86,CMP-00087,Q2_Winter_CMP-00087,2023-10-06,2023-11-05,Instagram,83798,1612,178774,279.0,True,IN,Winter
87,CMP-00088,Q2_BlackFriday_CMP-00088,2023-10-27,2023-11-25,Instagram,10268,123,6403,8.0,False,IN,BlackFriday
88,CMP-00089,Q4_Winter_CMP-00089,2023-09-29,2023-10-10,,87807,3125,193854,506.0,False,XX,Winter
89,CMP-00090,Q3_BlackFriday_CMP-00090,2023-02-11,2023-11-23,Instagram,13185,250,24207,14.0,True,IN,BlackFriday
90,CMP-00091,Q3_Launch_CMP-00091,2023-02-04,2023-03-06,Instagram,64704,1112,58226,213.0,True,IN,Launch
91,CMP-00092,Q1_Launch_CMP-00092,2023-03-03,2023-04-01,Google Ads,87779,1188,62456,186.0,False,GO,Launch
92,CMP-00093,Q2_Winter_CMP-00093,2023-10-24,2023-11-09,Google Ads,40099,566,10612,28.0,False,GO,Winter
93,CMP-00094,Q1_Winter_CMP-00094,2023-08-03,2023-08-29,,9571,319,4974,52.0,False,XX,Winter
94,CMP-00095,Q4_Summer_CMP-00095,2023-06-11,2023-06-20,TikTok,39044,1465,141143,186.0,True,TI,Summer
95,CMP-00096,Q1_Winter_CMP-00096,2023-06-10,2023-06-28,Google Ads,52214,1352,9450,225.0,False,GO,Winter
96,CMP-00097,Q3_Summer_CMP-00097,2023-12-10,2023-12-21,Email,62228,1816,23017,233.0,False,EM,Summer
97,CMP-00098,Q4_Summer_CMP-00098,2023-07-02,2023-08-01,,49984,1871,9505,273.0,False,XX,Summer
98,CMP-00099,Q4_BlackFriday_CMP-00099,2023-11-15,2023-12-11,Instagram,41774,446,8508,74.0,False,IN,BlackFriday
99,CMP-00100,Q2_BlackFriday_CMP-00100,2023-02-07,2023-02-18,TikTok,3568,81,909,8.0,True,TI,BlackFriday
100,CMP-00101,Q2_Summer_CMP-00101,2023-03-09,2023-04-01,TikTok,63592,3111,34330,156.0,False,TI,Summer
101,CMP-00102,Q3_BlackFriday_CMP-00102,2023-05-06,2023-05-13,Google Ads,68563,2276,247149,403.0,False,GO,BlackFriday
102,CMP-00103,Q3_Summer_CMP-00103,2023-10-06,2023-11-04,,3695,74,447,7.0,False,XX,Summer
103,CMP-00104,Q1_Winter_CMP-00104,2023-12-01,2023-12-06,Email,49190,1518,221246,188.0,True,EM,Winter
104,CMP-00105,Q4_BlackFriday_CMP-00105,2023-10-11,2023-10-22,TikTok,6258,148,23673,7.0,False,TI,BlackFriday
105,CMP-00106,Q4_BlackFriday_CMP-00106,2023-03-10,2023-04-05,Google Ads,88538,2770,41943,342.0,False,GO,BlackFriday
106,CMP-00107,Q4_Winter_CMP-00107,2023-10-11,2023-11-01,Google Ads,40504,608,43025,120.0,False,GO,Winter
107,CMP-00108,Q1_Launch_CMP-00108,2023-04-18,2023-05-07,Google Ads,34159,522,71423,47.0,False,GO,Launch
108,CMP-00109,Q1_BlackFriday_CMP-00109,2023-11-21,2023-12-21,TikTok,14986,235,31824,25.0,True,TI,BlackFriday
109,CMP-00110,Q3_Launch_CMP-00110,2023-05-09,2023-05-17,Instagram,62858,2991,539163,457.0,False,IN,Launch
110,CMP-00111,Q4_Winter_CMP-00111,2023-02-17,2023-03-12,Email,13666,537,57389,92.0,False,EM,Winter
111,CMP-00112,Q4_BlackFriday_CMP-00112,2023-01-23,2023-02-11,Email,39660,654,69143,73.0,False,EM,BlackFriday
112,CMP-00113,Q3_BlackFriday_CMP-00113,2023-03-08,2023-03-28,Instagram,4561,79,1128,7.0,False,IN,BlackFriday
113,CMP-00114,Q1_Launch_CMP-00114,2023-08-15,2023-08-23,Facebook,27854,1092,158297,208.0,True,FA,Launch
114,CMP-00115,Q4_BlackFriday_CMP-00115,2023-01-05,2023-02-01,Facebook,65505,1064,128098,161.0,True,FA,BlackFriday
115,CMP-00116,Q1_Summer_CMP-00116,2023-12-20,2024-01-16,Facebook,53251,1032,120186,70.0,True,FA,Summer
116,CMP-00117,Q2_Summer_CMP-00117,2023-07-09,2023-07-17,TikTok,23662,1148,142492,,True,TI,Summer
117,CMP-00118,Q2_Summer_CMP-00118,2023-07-03,2023-08-02,Google Ads,9392,189,33861,23.0,False,GO,Summer
118,CMP-00119,Q3_Launch_CMP-00119,2023-07-06,2023-07-25,Facebook,31535,1149,136932,95.0,True,FA,Launch
119,CMP-00120,Q2_Launch_CMP-00120,2023-01-21,2023-02-06,Facebook,79603,3912,747152,344.0,False,FA,Launch
120,CMP-00121,Q1_Winter_CMP-00121,2023-05-08,2023-06-06,Email,53256,1329,166923,241.0,False,EM,Winter
121,CMP-00122,Q4_Launch_CMP-00122,2023-10-14,2023-10-15,Instagram,90135,964,185454,61.0,True,IN,Launch
122,CMP-00123,Q1_BlackFriday_CMP-00123,2023-11-14,2023-11-25,Facebook,36222,715,125071,112.0,False,FA,BlackFriday
123,CMP-00124,Q4_Launch_CMP-00124,2023-05-02,2023-05-19,,78373,3388,353588,307.0,False,XX,Launch
124,CMP-00125,Q4_Summer_CMP-00125,2023-04-01,2023-05-01,Email,80575,3592,64493,589.0,False,EM,Summer
125,CMP-00126,Q1_Winter_CMP-00126,2023-06-20,2023-06-24,Email,97354,3966,263777,628.0,False,EM,Winter
126,CMP-00127,Q1_Launch_CMP-00127,2023-12-09,2023-12-22,Instagram,85651,1244,234814,63.0,False,IN,Launch
127,CMP-00128,Q4_Winter_CMP-00128,2023-05-17,2023-06-11,Instagram,64335,2690,389368,,True,IN,Winter
128,CMP-00129,Q4_BlackFriday_CMP-00129,2023-07-15,2023-07-20,TikTok,11965,559,32511,39.0,False,TI,BlackFriday
129,CMP-00130,Q1_BlackFriday_CMP-00130,2023-04-24,2023-05-14,Facebook,25538,868,127282,156.0,False,FA,BlackFriday
130,CMP-00131,Q3_Launch_CMP-00131,2023-06-29,2023-07-10,Google Ads,71592,3410,668828,616.0,False,INVALID,Launch
131,CMP-00132,Q2_Launch_CMP-00132,2023-04-27,2023-04-30,Google Ads,99018,4265,257905,480.0,False,GO,Launch
132,CMP-00133,Q1_BlackFriday_CMP-00133,2023-07-24,2023-08-10,Facebook,9110,334,4449,38.0,True,FA,BlackFriday
133,CMP-00134,Q4_Summer_CMP-00134,2023-05-23,2023-06-08,Facebook,80309,2657,430883,253.0,True,FA,Summer
134,CMP-00135,Q2_Launch_CMP-00135,2023-12-14,2023-12-29,Google Ads,28266,676,11596,,True,GO,Launch
135,CMP-00136,Q2_Winter_CMP-00136,2023-01-15,2023-02-04,Google Ads,53992,883,98961,91.0,True,GO,Winter
136,CMP-00137,Q3_Summer_CMP-00137,2023-04-02,2023-05-01,Google Ads,83948,2870,231394,258.0,True,GO,Summer
137,CMP-00138,Q4_Summer_CMP-00138,2023-01-20,2023-02-18,Facebook,99806,2268,127805,260.0,True,FA,Summer
138,CMP-00139,Q3_Launch_CMP-00139,2023-06-10,2023-07-04,Instagram,7910,353,48347,22.0,False,IN,Launch
139,CMP-00140,Q4_Winter_CMP-00140,2023-03-01,2023-03-10,Instagram,91982,4574,539442,,False,IN,Winter
140,CMP-00141,Q1_Winter_CMP-00141,2023-11-05,2023-12-05,Facebook,1206,48,9231,2.0,False,FA,Winter
141,CMP-00142,Q1_Launch_CMP-00142,2023-12-08,2024-01-07,TikTok,88054,1199,7085,175.0,False,TI,Launch
142,CMP-00143,Q3_BlackFriday_CMP-00143,2023-10-03,2023-10-16,Facebook,88897,1915,29263,148.0,False,FA,BlackFriday
143,CMP-00144,Q2_Summer_CMP-00144,2023-12-10,2024-01-04,Google Ads,24419,350,18811,29.0,False,GO,Summer
144,CMP-00145,Q2_Summer_CMP-00145,2023-12-07,2023-12-14,Facebook,51636,1859,-140754,270.0,True,FA,Summer
145,CMP-00146,Q3_Launch_CMP-00146,2023-12-06,2024-01-01,Google Ads,51015,2071,244454,,False,GO,Launch
146,CMP-00147,Q1_BlackFriday_CMP-00147,2023-06-03,2023-06-28,Facebook,55268,2599,307282,433.0,True,FA,BlackFriday
147,CMP-00148,Q4_Launch_CMP-00148,2023-06-17,2023-06-26,Instagram,88939,2448,374189,205.0,True,IN,Launch
148,CMP-00149,Q2_BlackFriday_CMP-00149,2023-03-07,2023-03-30,Facebook,19141,881,164335,67.0,False,FA,BlackFriday
149,CMP-00150,Q2_Summer_CMP-00150,2023-07-14,2023-07-19,,81356,3670,535287,660.0,True,XX,Summer
150,CMP-00151,Q1_Launch_CMP-00151,2023-11-12,2023-11-24,Google Ads,72910,1654,319272,192.0,True,GO,Launch
151,CMP-00152,Q3_BlackFriday_CMP-00152,2023-01-01,2023-01-29,Email,57044,2553,465265,180.0,True,E-,BlackFriday
152,CMP-00153,Q2_Winter_CMP-00153,2023-10-24,2023-11-18,TikTok,68214,1707,235011,306.0,True,TI,Winter
153,CMP-00154,Q3_Launch_CMP-00154,2023-08-15,2023-08-17,TikTok,34827,761,133227,131.0,False,TI,Launch
154,CMP-00155,Q4_Launch_CMP-00155,2023-08-31,2023-09-16,Facebook,56820,2043,299068,403.0,True,INVALID,Launch
155,CMP-00156,Q2_Launch_CMP-00156,2023-03-28,2023-04-05,Facebook,63623,1471,90884,274.0,True,FA,Launch
156,CMP-00157,Q3_Launch_CMP-00157,2023-12-06,2024-01-05,TikTok,82734,2912,469079,,True,TI,Launch
157,CMP-00158,Q1_Winter_CMP-00158,2023-05-01,2023-05-22,Email,76450,2629,168877,,True,INVALID,Winter
158,CMP-00159,Q1_Winter_CMP-00159,2023-04-12,2023-12-05,Google Ads,94426,3072,427353,201.0,False,GO,Winter
159,CMP-00160,Q3_BlackFriday_CMP-00160,2023-09-01,2023-09-12,Google Ads,23299,587,91217,79.0,True,GO,BlackFriday
160,CMP-00161,Q1_Winter_CMP-00161,2023-08-22,2023-09-03,Facebook,44585,1424,8541,184.0,False,INVALID,Winter
161,CMP-00162,Q4_Winter_CMP-00162,2023-04-10,2023-05-07,Google Ads,65044,2202,186331,261.0,False,GO,Winter
162,CMP-00163,Q4_BlackFriday_CMP-00163,2023-07-24,2023-08-13,,43557,1386,259668,151.0,True,INVALID,BlackFriday
163,CMP-00164,Q1_Launch_CMP-00164,2023-01-03,2023-01-19,Google Ads,50080,1391,198144,159.0,True,GO,Launch
164,CMP-00165,Q3_Summer_CMP-00165,2023-02-24,2023-03-14,Instagram,3693,39,3391,,False,IN,Summer
165,CMP-00166,Q4_Winter_CMP-00166,2023-12-23,2023-12-28,TikTok,96003,3214,493677,161.0,True,TI,Winter
166,CMP-00167,Q4_Summer_CMP-00167,2023-05-08,2023-06-03,Google Ads,96259,1611,224761,143.0,True,GO,Summer
167,CMP-00168,Q1_Winter_CMP-00168,2023-03-10,2023-03-19,Facebook,70163,2505,313717,,True,FA,Winter
168,CMP-00169,Q2_Launch_CMP-00169,2023-10-14,2023-10-25,Google Ads,26939,1087,213517,172.0,True,GO,Launch
169,CMP-00170,Q2_Launch_CMP-00170,2023-08-15,2023-08-31,TikTok,49925,1498,228472,114.0,True,TI,Launch
170,CMP-00171,Q2_BlackFriday_CMP-00171,2023-09-16,2023-09-27,,43941,1392,147992,183.0,True,XX,BlackFriday
171,CMP-00172,Q2_Winter_CMP-00172,2023-08-17,2023-09-06,Facebook,22834,1097,186502,172.0,False,FA,Winter
172,CMP-00173,Q1_BlackFriday_CMP-00173,2023-09-01,2023-09-30,Email,19047,835,152544,97.0,False,EM,BlackFriday
173,CMP-00174,Q3_Summer_CMP-00174,2023-11-23,2023-12-11,TikTok,27105,1262,86804,68.0,True,TI,Summer
174,CMP-00175,Q3_BlackFriday_CMP-00175,2023-09-06,2023-09-13,Email,76766,3266,261551,383.0,True,EM,BlackFriday
175,CMP-00176,Q1_Launch_CMP-00176,2023-02-09,2023-03-08,TikTok,16707,239,19702,22.0,False,TI,Launch
176,CMP-00177,Q4_Launch_CMP-00177,2023-06-21,2023-07-17,TikTok,22976,366,56248,,False,TI,Launch
177,CMP-00178,Q4_BlackFriday_CMP-00178,2023-03-12,2023-04-02,Facebook,45262,1406,197481,96.0,False,FA,BlackFriday
178,CMP-00179,Q3_Launch_CMP-00179,2023-03-20,2023-03-27,Facebook,24776,491,70139,72.0,False,FA,Launch
179,CMP-00180,Q3_Summer_CMP-00180,2023-07-28,2023-08-27,Facebook,31080,903,172578,52.0,False,FA,Summer
180,CMP-00181,Q2_Launch_CMP-00181,2023-02-01,2023-02-21,Instagram,67842,1748,290844,,False,IN,Launch
181,CMP-00182,Q4_BlackFriday_CMP-00182,2023-10-27,2023-11-16,Email,62373,1994,137966,265.0,True,EM,BlackFriday
182,CMP-00183,Q2_Winter_CMP-00183,2023-10-22,2023-10-26,Email,7776,310,31659,29.0,True,EM,Winter
183,CMP-00184,Q4_Launch_CMP-00184,2023-06-30,2023-07-10,Email,93787,3622,417649,428.0,False,EM,Launch
184,CMP-00185,Q3_Launch_CMP-00185,2023-08-03,2023-08-27,Facebook,56016,1728,189033,128.0,False,FA,Launch
185,CMP-00186,Q3_Summer_CMP-00186,2023-11-05,2023-11-07,Instagram,10474,449,67528,42.0,True,IN,Summer
186,CMP-00187,Q1_Summer_CMP-00187,2023-05-20,2023-06-13,Facebook,59053,1608,295525,230.0,True,FA,Summer
187,CMP-00188,Q1_Summer_CMP-00188,2023-06-22,2023-07-21,Email,22959,1053,100991,100.0,False,E-,Summer
188,CMP-00189,Q4_Summer_CMP-00189,2023-03-26,2023-04-02,Insta_gram,6530,83,11021,15.0,True,IN,Summer
189,CMP-00190,Q4_Summer_CMP-00190,2023-11-15,2023-12-02,Facebook,95856,4618,777724,,True,FA,Summer
190,CMP-00191,Q4_Summer_CMP-00191,2023-10-31,2023-11-26,Facebook,4748,171,19226,19.0,True,INVALID,Summer
191,CMP-00192,Q3_Launch_CMP-00192,2023-11-26,2023-12-13,Instagram,98504,2482,18669,138.0,True,IN,Launch
192,CMP-00193,Q2_Winter_CMP-00193,2023-04-04,2023-04-14,Facebook,99098,1772,214842,221.0,True,FA,Winter
193,CMP-00194,Q4_Launch_CMP-00194,2023-07-14,2023-07-22,Facebook,14545,424,24712,69.0,False,FA,Launch
194,CMP-00195,Q1_Winter_CMP-00195,2023-06-22,2023-07-18,Email,67199,1194,228481,107.0,False,EM,Winter
195,CMP-00196,Q4_Summer_CMP-00196,2023-08-04,2023-09-03,Instagram,35766,595,36428,101.0,True,IN,Summer
196,CMP-00197,Q3_Launch_CMP-00197,2023-01-10,2023-10-15,Instagram,74530,2585,299262,226.0,True,IN,Launch
197,CMP-00198,Q4_Launch_CMP-00198,2023-06-29,2023-07-22,TikTok,94557,2924,378606,507.0,True,TI,Launch
198,CMP-00199,Q1_BlackFriday_CMP-00199,2023-11-30,2023-12-27,Email,62087,2285,451963,143.0,False,EM,BlackFriday
199,CMP-00200,Q2_BlackFriday_CMP-00200,2023-01-16,2023-02-13,Google Ads,96839,4569,342233,,False,GO,BlackFriday
200,CMP-00201,Q3_BlackFriday_CMP-00201,2023-01-11,2023-02-10,Instagram,69840,2185,146755,272.0,True,IN,BlackFriday
201,CMP-00202,Q3_Launch_CMP-00202,2023-08-31,2023-09-10,Email,55384,1840,94403,173.0,False,EM,Launch
202,CMP-00203,Q2_Summer_CMP-00203,2023-04-22,2023-05-01,Facebook,52005,706,51775,63.0,False,FA,Summer
203,CMP-00204,Q4_Summer_CMP-00204,2023-07-08,2023-07-15,Instagram,47576,1841,149288,211.0,False,IN,Summer
204,CMP-00205,Q1_Summer_CMP-00205,2023-02-28,2023-03-05,Instagram,40353,1049,151672,209.0,True,IN,Summer
205,CMP-00206,Q2_BlackFriday_CMP-00206,2023-06-09,2023-09-16,Email,63003,3091,256417,256.0,False,EM,BlackFriday
206,CMP-00207,Q3_BlackFriday_CMP-00207,2023-06-09,2023-06-10,Instagram,84211,3614,191824,236.0,False,IN,BlackFriday
207,CMP-00208,Q2_Launch_CMP-00208,2023-07-12,2023-07-13,Facebook,53733,1660,288828,228.0,True,FA,Launch
208,CMP-00209,Q2_Launch_CMP-00209,2023-02-08,2023-03-01,,66318,990,103791,122.0,False,INVALID,Launch
209,CMP-00210,Q2_Launch_CMP-00210,2023-05-05,2023-05-26,Insta_gram,90474,4014,413661,516.0,True,IN,Launch
210,CMP-00211,Q1_Launch_CMP-00211,2023-12-17,2024-01-11,TikTok,24664,1035,9871,155.0,False,TI,Launch
211,CMP-00212,Q2_Launch_CMP-00212,2023-10-17,2023-10-31,Facebook,68172,1185,232623,,False,FA,Launch
